Product,Year,Quarter,Value,ProcessedTimestamp,filename
Crude oil & NGLs,2005,4th quarter,12190.0,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2006,1st quarter,12385.74,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2006,2nd quarter,13336.78,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2006,3rd quarter,13656.53,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2006,4th quarter,12067.33,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2007,1st quarter,11315.07,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2007,2nd quarter,11465.43,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2007,3rd quarter,14161.54,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2007,4th quarter,13208.55,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2008,1st quarter,11868.76,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2008,2nd quarter,13539.34,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2008,3rd quarter,14033.99,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2008,4th quarter,12966.83,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2009,1st quarter,11557.27,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2009,2nd quarter,11811.48,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2009,3rd quarter,12674.32,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2009,4th quarter,12188.33,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2010,1st quarter,11192.18,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2010,2nd quarter,13086.98,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2010,3rd quarter,12047.38,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2010,4th quarter,12104.31,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2011,1st quarter,12110.47,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2011,2nd quarter,12195.84,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil & NGLs,2011,3rd quarter,13298.01,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
